feature,imputation_strategy,imputation_value_fitted_on_train,train_missing_count_before,test_missing_count_before
vision,median,4.291,0,0
bright,median,0.6207,0,0
dark,median,0.36855000000000004,0,0
color,median,0.83935,0,0
pattern,median,0.98335,0,0
large,median,0.8929,0,0
small,median,0.5345,0,0
motion,median,1.1311499999999999,0,0
biomotion,median,0.48335,0,0
fast,median,0.49195,0,0
slow,median,0.54565,0,0
shape,median,2.22005,0,0
complexity,median,1.4,81,20
face,median,0.2414,0,0
body,median,0.23735,0,0
touch,median,0.7894,0,0
temperature,median,0.47409999999999997,0,0
texture,median,0.8,0,0
weight,median,1.50925,0,0
pain,median,0.32794999999999996,0,0
audition,median,0.98335,0,0
loud,median,0.41665,0,0
low,median,0.224,0,0
high,median,0.2143,0,0
sound,median,0.9016,0,0
music,median,0.1724,0,0
speech,median,0.2581,0,0
taste,median,0.1667,0,0
smell,median,0.31645,0,0
head,median,0.7965500000000001,0,0
upperlimb,median,1.36075,0,0
lowerlimb,median,0.3,0,0
practice,median,1.4444,31,8
landmark,median,0.36335,0,0
path,median,0.47475,0,0
scene,median,1.7667,0,0
near,median,0.8644000000000001,0,0
toward,median,0.6333,0,0
away,median,0.5333,0,0
number,median,0.4138,0,0
time,median,0.6414500000000001,0,0
duration,median,0.8621,0,0
long,median,0.9355,0,0
short,median,0.8595999999999999,0,0
caused,median,1.7037,31,8
consequential,median,1.9309500000000002,0,0
social,median,1.7543,0,0
human,median,0.6333,0,0
communication,median,0.8621,0,0
self,median,0.5714,0,0
cognition,median,0.9344,0,0
benefit,median,2.4828,0,0
harm,median,1.0351,0,0
pleasant,median,2.2163500000000003,0,0
unpleasant,median,0.5578000000000001,0,0
happy,median,1.7682,0,0
sad,median,0.3846,0,0
angry,median,0.32735000000000003,0,0
disgusted,median,0.2593,0,0
fearful,median,0.5085999999999999,0,0
surprised,median,0.8983,0,0
drive,median,1.6212499999999999,0,1
needs,median,1.05125,0,0
attention,median,2.43845,0,0
arousal,median,2.4106,0,0
