feature,mutual_information,mi_rank
complexity,0.4564750757235181,1
practice,0.30097093597209734,2
caused,0.2651038001588708,3
human,0.22167231654328412,4
body,0.195297787032934,5
short,0.15486138973488117,6
face,0.14573259711464304,7
color,0.1451986235033942,8
biomotion,0.1417502434811415,9
vision,0.13160130548444737,10
shape,0.1263417538502083,11
texture,0.1162441144991504,12
path,0.11128339778051233,13
small,0.10536661139356363,14
speech,0.10523563298142413,15
self,0.10148658082256024,16
near,0.09427694241963791,17
consequential,0.0833684100820089,18
landmark,0.07797471122361732,19
drive,0.07583727730725065,20
fast,0.07272778435719163,21
large,0.07219329407912567,22
pattern,0.06580700024574138,23
motion,0.060316384215826746,24
number,0.0599009126785397,25
head,0.05854849572709275,26
benefit,0.058510573971275015,27
duration,0.057637596538262725,28
audition,0.05664112104219243,29
surprised,0.05611013154053146,30
away,0.054605281623362645,31
time,0.05227541332392893,32
music,0.05204113380338171,33
upperlimb,0.05158740963651032,34
temperature,0.05107945801998426,35
loud,0.04990415415322125,36
bright,0.048858300646394515,37
weight,0.047194711858088434,38
sound,0.04540107795377102,39
high,0.04494548412846644,40
communication,0.043600958155936675,41
harm,0.04228053232766227,42
sad,0.0420948302459061,43
scene,0.0398524424685891,44
low,0.037504278963353066,45
slow,0.036902175878217314,46
smell,0.035646384531464514,47
angry,0.03539120643766025,48
touch,0.03410513696027917,49
happy,0.027953135322015932,50
toward,0.02519117770558843,51
cognition,0.024167412716236347,52
arousal,0.021230007483104663,53
social,0.020829673149086014,54
fearful,0.019337051707359887,55
taste,0.012547684647580715,56
needs,0.012190820887855613,57
lowerlimb,0.011434870781693807,58
disgusted,0.010464750253363242,59
long,0.0077219068563501025,60
dark,0.003469472327484846,61
attention,0.0,62
pain,0.0,62
pleasant,0.0,62
unpleasant,0.0,62
