feature,anova_f_score,anova_p_value,anova_rank
unpleasant,661.1090868760141,3.418855381725514e-131,1.0
consequential,349.67889131292435,1.6422336050002382e-90,2.0
texture,339.28396035781043,8.666540433488977e-89,3.0
pattern,332.91908649926904,1.0199481166270834e-87,4.0
angry,308.4929884883451,1.7258353156516288e-83,5.0
shape,281.12311314948835,1.6490454971903623e-78,6.0
sad,272.34557806390836,7.465222474995632e-77,7.0
caused,270.46453589763854,1.7052368281204034e-76,8.0
fearful,264.84016811932565,2.0550738764560633e-75,9.0
disgusted,253.9841662542665,2.7285428510099922e-73,10.0
weight,253.21998001223596,3.8657934912501135e-73,11.0
pain,252.50864137674563,5.349412004359336e-73,12.0
color,219.34027725387068,3.610813214300834e-66,13.0
harm,169.34584022400074,8.176359819206992e-55,14.0
touch,167.0127401041857,3.0072680870559115e-54,15.0
surprised,163.19232844336673,2.581689921765389e-53,16.0
vision,160.12770344841954,1.471656078651688e-52,17.0
drive,145.7504285075026,6.2964515883644446e-49,18.0
arousal,137.5621980940339,8.568706578908076e-47,19.0
human,110.96597365111985,1.679559864786324e-39,20.0
cognition,105.77722998319571,5.219032505139954e-38,21.0
benefit,104.74950318312345,1.0376993449960973e-37,22.0
pleasant,96.99945181114622,1.9886034088764317e-35,23.0
small,95.59182799232845,5.238844669496328e-35,24.0
social,92.96492874946598,3.232106302279228e-34,25.0
short,88.5794571013957,6.982881193243259e-33,26.0
happy,82.20336604898897,6.598429650587401e-31,27.0
practice,74.03811904484303,2.5853083651889486e-28,28.0
bright,71.12825110665557,2.2620779120352325e-27,29.0
temperature,70.85149779690178,2.7835697976800456e-27,30.0
duration,66.66618108538057,6.575478644662911e-26,31.0
long,66.53072329122973,7.289844683337579e-26,32.0
self,66.22106025376057,9.229839791597179e-26,33.0
attention,58.32047834063135,4.158671633373018e-23,34.0
speech,47.1460619364851,3.2185021491883513e-19,35.0
smell,45.505021096690214,1.2381976974879056e-18,36.0
near,42.98212159291416,9.992273945855668e-18,37.0
time,40.17984264437583,1.0411697259262363e-16,38.0
communication,38.22287287178045,5.433229164305223e-16,39.0
face,33.967184526027204,2.065208725771956e-14,40.0
dark,32.907391226867894,5.1600073732348975e-14,41.0
needs,31.64328387749781,1.5461706449740717e-13,42.0
taste,30.25248944117121,5.205817504777063e-13,43.0
body,26.44265079387674,1.500953070312997e-11,44.0
scene,19.463824339157355,8.165226799862435e-09,45.0
loud,19.008813739590362,1.2392916115392629e-08,46.0
upperlimb,16.710776508501592,1.0323552326507044e-07,47.0
complexity,15.183024208061193,4.2757288243943067e-07,48.0
toward,13.972461081536698,1.3273979451707534e-06,49.0
biomotion,12.207855754289895,6.996716083117817e-06,50.0
sound,10.837119570895071,2.567911458180666e-05,51.0
high,10.139580082508415,4.991936330416155e-05,52.0
low,10.006290058936841,5.669390556497871e-05,53.0
large,8.056349251473385,0.00036801548844118216,54.0
fast,7.492366565730283,0.000634097556377469,55.0
audition,6.682670871023186,0.0013882028118471098,56.0
away,6.144212968252098,0.0023412690113488836,57.0
landmark,5.683897313364036,0.003663961088598067,58.0
number,5.314205392173317,0.005253588215687927,59.0
music,5.144888015207576,0.006197598889910741,60.0
slow,4.888233224073842,0.007963730613474327,61.0
lowerlimb,1.4672682327367303,0.23171992885128304,62.0
path,1.33247035117695,0.264924568800636,63.0
motion,0.8604721237934062,0.42369786259315284,64.0
head,0.1692244203331666,0.844376262455491,65.0
