feature,train_mean_used_for_scaling,train_std_used_for_scaling
vision,3.528070093457944,1.7901501505559543
bright,1.0055147196261682,1.0757934500155766
dark,0.7455095794392522,0.9748918891064883
color,1.5454733644859813,1.6824369617249855
pattern,1.3667700934579439,1.2575512945793195
large,1.5216303738317756,1.5404824656043443
small,1.2097714953271028,1.4542275896681267
motion,1.6394668224299067,1.514718598097552
biomotion,1.5086406542056077,1.9255866470532697
fast,1.0808278037383177,1.359883870865807
slow,0.7618733644859813,0.75210831287159
shape,2.3769467289719626,1.9214705032776163
complexity,1.4774046728971961,0.9331845778479756
face,0.9857640186915887,1.7299375425262598
body,1.2786787383177574,1.9009619252754661
touch,1.4519406542056075,1.487619193443798
temperature,0.9662280373831775,1.1805474662439568
texture,1.4386983644859812,1.4347750416892309
weight,2.0145542056074768,1.7364925480802926
pain,0.8084642523364486,1.081617384587852
audition,1.6864278037383176,1.7429522591056086
loud,1.1831301401869159,1.539759858735406
low,0.4918004672897197,0.6823419319881451
high,0.6382247663551401,1.0460355857153663
sound,1.5438962616822431,1.6319997216977518
music,0.5912553738317757,1.2357455785858538
speech,1.0476481308411214,1.7216154234152778
taste,0.7154327102803738,1.5000542805771067
smell,0.9476518691588786,1.3363516924301746
head,1.5082207943925234,1.6275744512629957
upperlimb,1.8455665887850465,1.6473742696427205
lowerlimb,0.7846799065420561,1.150126993543972
practice,2.154942289719626,1.8678462533567557
landmark,0.9287091121495328,1.379320707570526
path,1.0088121495327103,1.2657399026686047
scene,2.0902953271028037,1.3960313804705602
near,1.3626890186915888,1.353032606325982
toward,0.9640934579439254,0.8768215674652139
away,0.814341121495327,0.8066058284076382
number,0.6854488317757009,0.8977269273021213
time,0.9782502336448599,1.0515271946767735
duration,1.265181074766355,1.1830498201096442
long,1.1883677570093458,0.9619471771484862
short,1.197298598130841,0.9941711196225189
caused,1.9962773364485982,1.3489091047141597
consequential,2.1662990654205605,1.5216630548588905
social,2.1116142523364485,1.6751969815148038
human,1.4149464953271027,1.7680293388143418
communication,1.426141355140187,1.4670021338417658
self,1.1160579439252336,1.2617462977054232
cognition,1.4209827102803736,1.493474436195754
benefit,2.4637140186915887,1.4115046562338474
harm,1.4819179906542055,1.4111251623149494
pleasant,2.362178504672897,1.5158488136353285
unpleasant,1.2384817757009345,1.510175730287743
happy,1.945288785046729,1.4560375762569988
sad,0.865421261682243,1.1150505824372878
angry,0.832503738317757,1.1241359546627196
disgusted,0.6026922897196263,0.8361231116933924
fearful,0.9240343457943926,1.1566606073402441
surprised,1.201576401869159,1.061214345120213
drive,1.7937432242990654,1.139670177663678
needs,1.528293925233645,1.4366012537093789
attention,2.5439539719626167,1.2929394745930138
arousal,2.3559808411214953,1.3636507425548232
