feature,cluster_id,cluster_size
angry,2,3
disgusted,2,3
unpleasant,2,3
audition,14,3
loud,14,3
sound,14,3
face,41,3
human,41,3
speech,41,3
happy,1,2
pleasant,1,2
pattern,26,2
texture,26,2
shape,27,2
weight,27,2
duration,38,2
time,38,2
biomotion,40,2
body,40,2
fast,42,2
motion,42,2
sad,3,1
harm,4,1
fearful,5,1
pain,6,1
benefit,7,1
needs,8,1
self,9,1
landmark,10,1
scene,11,1
large,12,1
complexity,13,1
low,15,1
high,16,1
music,17,1
surprised,18,1
attention,19,1
arousal,20,1
short,21,1
number,22,1
bright,23,1
color,24,1
temperature,25,1
small,28,1
vision,29,1
cognition,30,1
caused,31,1
consequential,32,1
drive,33,1
practice,34,1
near,35,1
touch,36,1
upperlimb,37,1
long,39,1
path,43,1
away,44,1
lowerlimb,45,1
slow,46,1
social,47,1
communication,48,1
dark,49,1
taste,50,1
smell,51,1
toward,52,1
head,53,1
