feature,mean_abs_correlation,median_abs_correlation,max_abs_correlation,n_corr_ge_0_70,n_corr_ge_0_80,n_corr_ge_0_90,vif,partial_r2,vif_flag,cluster_id,cluster_size,redundancy_score
face,0.1604696759227185,0.1184753736465003,0.9211220823634554,4,3,1,17.468117785406264,0.942752847657379,strong,41,3,7.0
unpleasant,0.2705459124678865,0.1898309326626329,0.8606225589595433,6,4,0,19.33984228309243,0.9482932701641401,strong,2,3,6.0
sound,0.2026299896809641,0.1271589343469938,0.890007916472427,4,4,0,18.695801424664282,0.9465120549108551,strong,14,3,6.0
speech,0.1916482328472601,0.1478665067249311,0.9211220823634554,3,2,1,18.563297443245695,0.9461302603668696,strong,41,3,6.0
happy,0.1496744267084083,0.0794049794189989,0.9367777773303074,1,1,1,22.987417965421756,0.9564979415476664,strong,1,2,5.0
pleasant,0.1815866330106581,0.1231056938748697,0.9367777773303074,1,1,1,21.110051410037947,0.9526292011053799,strong,1,2,5.0
audition,0.2126614681384915,0.1553540116913684,0.890007916472427,4,2,0,18.280975771377882,0.9452983247444768,strong,14,3,4.0
loud,0.2180630785200322,0.1299066928339036,0.8875544681394931,4,2,0,15.924190820852594,0.9372024606304951,strong,14,3,4.0
body,0.1551856899495446,0.0941264069402786,0.869311858267555,4,2,0,14.597238703388575,0.931493892761522,strong,40,2,4.0
human,0.2145884482318828,0.1611341997389982,0.8329705966384238,4,2,0,13.532571602505628,0.9261042151208833,strong,41,3,4.0
texture,0.3241891851517921,0.3275772365050466,0.8503931006307124,4,2,0,10.677784839229107,0.906347616564992,strong,26,2,4.0
pattern,0.3258249704152608,0.3179921238819874,0.8503931006307124,5,2,0,10.256652084781374,0.9025022988267506,strong,26,2,4.0
shape,0.3282988224423041,0.3032335910973087,0.8318074537804232,4,2,0,9.832280513374211,0.898294195467698,warning,27,2,4.0
angry,0.2832588776622201,0.2559790317764232,0.8544499612521664,4,2,0,8.629960106571575,0.8841246091927452,warning,2,3,4.0
disgusted,0.2415163256588617,0.1752890343353854,0.8606225589595433,3,2,0,6.980374168894907,0.8567412038661082,warning,2,3,4.0
motion,0.2265496886270994,0.1573512933266339,0.8706673781422977,1,1,0,17.466638913795,0.942748000635073,strong,42,2,3.0
biomotion,0.1595414132687326,0.0950378008265566,0.869311858267555,3,1,0,15.329490450338314,0.9347662596327244,strong,40,2,3.0
fast,0.2150872407697739,0.1558473802565127,0.8706673781422977,2,1,0,13.2496965476519,0.9245265733895454,strong,42,2,3.0
duration,0.1600030970454572,0.1004141501090399,0.8184751684282633,1,1,0,8.906619339006467,0.887723954293128,warning,38,2,3.0
weight,0.3137766888983343,0.2906626401124477,0.8294367546491952,3,1,0,7.547478719725571,0.8675054230512146,warning,27,2,3.0
time,0.1307740409705544,0.0865292629553099,0.8184751684282633,1,1,0,5.3460710378144425,0.8129467429582051,warning,38,2,3.0
fearful,0.2653847964324308,0.1947080017684862,0.8294813586539955,5,1,0,9.49846463533192,0.8947198270044351,warning,5,1,2.0
touch,0.2902178940512823,0.2578959929986633,0.8402833648949635,2,1,0,8.551584549937651,0.8830626073845822,warning,36,1,2.0
low,0.1867400948808808,0.1201876094415723,0.8344033234264563,3,1,0,7.7385273622126345,0.8707764470946995,warning,15,1,2.0
high,0.1696024808231804,0.1149059987018685,0.8376288782564907,3,1,0,7.226410460822672,0.8616187102266873,warning,16,1,2.0
sad,0.2684253527635937,0.2400688997017472,0.8495593168946318,4,1,0,6.425772066726168,0.8443766772901603,warning,3,1,2.0
arousal,0.3004425674235712,0.2749174138307457,0.7623744626273058,2,0,0,13.049018082109326,0.9233658813477287,strong,20,1,1.0
consequential,0.3228674628578605,0.2999470331572097,0.7916336720568043,1,0,0,12.05637540880407,0.9170563319329159,strong,32,1,1.0
vision,0.3247855155652918,0.33206992888568,0.7934770206708823,1,0,0,9.400941251599532,0.8936276726726854,warning,29,1,1.0
taste,0.2388952038426453,0.2100039155674949,0.7669697480064119,1,0,0,8.768113533525723,0.8859503818949875,warning,50,1,1.0
large,0.1832991062524177,0.1454727182873951,0.6471110132431204,0,0,0,8.34994404525679,0.8802387184177536,warning,12,1,1.0
harm,0.2349574659343309,0.1596616818756092,0.7991411666262447,3,0,0,8.340355658620952,0.8801010363429338,warning,4,1,1.0
attention,0.2640064916979858,0.225471183630752,0.7666437032575071,2,0,0,8.194193057768327,0.8779623578612208,warning,19,1,1.0
color,0.2838607471714263,0.2334805435451862,0.7900704404111691,1,0,0,7.851574223443282,0.8726370060905502,warning,24,1,1.0
near,0.2343933732277761,0.191670684084935,0.781291092121976,1,0,0,7.201850365763549,0.8611467957243543,warning,35,1,1.0
small,0.261726327663596,0.2359013428849338,0.6636340968854333,0,0,0,7.130560907949046,0.8597585781947091,warning,28,1,1.0
caused,0.3165511434096826,0.313959660459411,0.7916336720568043,1,0,0,7.018971145456074,0.8575289769288512,warning,31,1,1.0
short,0.2112717908848336,0.178775441914805,0.588410860832092,0,0,0,6.980122213599599,0.8567360327801041,warning,21,1,1.0
practice,0.261416129414369,0.2535115873726002,0.781291092121976,1,0,0,6.626803969385949,0.8490976940588961,warning,34,1,1.0
path,0.1739875304202746,0.12485887500426,0.7672687631087571,1,0,0,6.515077782763611,0.846509890849559,warning,43,1,1.0
social,0.2558264782444835,0.239124749268004,0.6897060849833296,0,0,0,6.474160262030772,0.8455398137323331,warning,47,1,1.0
surprised,0.2800561654621299,0.2495898064129524,0.7666437032575071,2,0,0,6.43449432537626,0.8445876319983351,warning,18,1,1.0
music,0.1571986282957599,0.1195514229892831,0.67782771819278,0,0,0,6.052396522903364,0.8347761921718415,warning,17,1,1.0
smell,0.2261262423469475,0.2024861207210088,0.7669697480064119,1,0,0,5.80309169698688,0.8276780633124879,warning,51,1,1.0
pain,0.2080897563799815,0.1353421509596059,0.7846035656541948,3,0,0,5.7575527378330795,0.8263150950526315,warning,6,1,1.0
communication,0.2176282769989463,0.1871228931282984,0.6897060849833296,0,0,0,5.717325721528691,0.8250930507187159,warning,48,1,1.0
drive,0.277862735385615,0.2153068956250126,0.659469150666536,0,0,0,5.632460161204421,0.8224576878700613,warning,33,1,1.0
needs,0.144319088367043,0.0958198331391636,0.5911089103286487,0,0,0,5.527540531832192,0.8190877128369904,warning,8,1,1.0
benefit,0.1712824493768541,0.1276807786406867,0.586983472595097,0,0,0,5.524596110613538,0.8189912927609573,warning,7,1,1.0
cognition,0.2938625850337597,0.2815417233408575,0.6849385374304645,0,0,0,5.394902525375679,0.8146398391265903,warning,30,1,1.0
landmark,0.124538913776168,0.1028290963829232,0.712254119480764,1,0,0,5.1026618352941995,0.8040238541611402,warning,10,1,1.0
