model,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Dummy majority,train,0.8107476635514018,0.3333333333333333,0.2702492211838006,0.3333333333333333,0.298494623655914,0.6573117739540572,0.8107476635514018,0.7260114561350618
Dummy majority,test,0.8130841121495327,0.3333333333333333,0.27102803738317754,0.3333333333333333,0.29896907216494845,0.6611057734299939,0.8130841121495327,0.72926100780422
Post-selection Logistic,train,0.9906542056074766,0.9961575408261286,0.9619047619047619,0.9961575408261286,0.9778656126482214,0.9917222963951936,0.9906542056074766,0.9909103222390504
Post-selection Logistic,test,0.9439252336448598,0.9152298850574713,0.8470418470418469,0.9152298850574713,0.8747563352826511,0.9537868673382693,0.9439252336448598,0.9472044597474996
SVM linear,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM linear,test,0.9719626168224299,0.9885057471264368,0.9090909090909092,0.9885057471264368,0.9415204678362573,0.979609175870858,0.9719626168224299,0.9739301524840138
SVM RBF,train,0.9836448598130841,0.9932756964457252,0.940883190883191,0.9932756964457252,0.9651920208870878,0.985447120377027,0.9836448598130841,0.984043253989397
SVM RBF,test,0.9719626168224299,0.9267241379310344,0.9507575757575758,0.9267241379310344,0.9381262939958592,0.9721750212404419,0.9719626168224299,0.971839554188193
Random Forest,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,test,0.9813084112149533,0.9166666666666666,0.9925093632958801,0.9166666666666666,0.9485930735930737,0.981728446917988,0.9813084112149533,0.9800794999393131
k-NN,train,0.9789719626168224,0.9432400607356449,0.9507451634863542,0.9432400607356449,0.9466164275087134,0.978946292200082,0.9789719626168224,0.9788319060903208
k-NN,test,0.9532710280373832,0.8194444444444445,0.9818840579710145,0.8194444444444445,0.8834629058092746,0.9558106460788297,0.9532710280373832,0.9498389669642215
